City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
628,Isla Vista,US,63.0,clear sky,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
629,Ulladulla,AU,69.01,broken clouds,-35.35,150.47,Sandpiper Motel
630,Makrana,IN,68.54,clear sky,27.05,74.72,Ganpati Guest House
632,Pozo Colorado,PY,75.7,overcast clouds,-23.49,-58.8,Hospedaje la Amistad
633,Mangan,IN,67.89,clear sky,27.52,88.53,Hotel Mout View
634,Porto Empedocle,IT,60.01,few clouds,37.29,13.53,Hotel dei Pini
636,Yokadouma,CM,68.22,overcast clouds,3.52,15.05,Hôtel De Ville De Yokadouma
639,Trelew,AR,60.08,broken clouds,-43.25,-65.31,Hotel Touring Club
641,Mahajanga,MG,75.2,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
642,Tucuman,AR,62.6,mist,-26.82,-65.22,Dallas Hotel Tucuman
647,Lebanon,US,68.0,clear sky,36.21,-86.29,Hampton Inn & Suites Lebanon
650,Grenada,ES,64.0,overcast clouds,37.19,-3.61,HOTEL REINA CRISTINA
651,Parchim,DE,61.0,few clouds,53.43,11.85,Hotel Stadtkrug
652,Esperance,AU,60.8,overcast clouds,-33.87,121.9,Hospitality Esperance
655,Pulaski,US,75.2,few clouds,34.77,-92.3,DoubleTree by Hilton Hotel Little Rock
